id,State,Year,Population,Death pop,Crude Rate
01,Alabama,2016,3894.139,777,20
02,Alaska,2016,574.545,185,32.2
04,Arizona,2016,5492.866,1255,22.9
05,Arkansas,2016,2364.514,544,23
06,California,2016,31113.657,4237,13.6
08,Colorado,2016,4416.554,1141,25.8
09,Connecticut,2016,2922.88,392,13.4
10,Delaware,2016,768.633,118,15.4
11,District of Columbia,2016,574.92,40,7
12,Florida,2016,16942.699,3105,18.3
13,Georgia,2016,8083.392,1378,17.1
15,Hawaii,2016,1152.103,171,14.8
16,Idaho,2016,1294.442,347,26.8
17,Illinois,2016,10233.76,1397,13.7
18,Indiana,2016,5242.574,1018,19.4
19,Iowa,2016,2483.333,443,17.8
20,Kansas,2016,2274.389,506,22.3
21,Kentucky,2016,3542.882,741,20.9
22,Louisiana,2016,3688.774,664,18
23,Maine,2016,1108.758,224,20.2
24,Maryland,2016,4812.407,579,12
25,Massachusetts,2016,5614.007,621,11.1
26,Michigan,2016,8024.477,1329,16.6
27,Minnesota,2016,4374.365,727,16.6
28,Mississippi,2016,2350.564,377,16
29,Missouri,2016,4860.607,1113,22.9
30,Montana,2016,838.302,259,30.9
31,Nebraska,2016,1482.717,237,16
32,Nevada,2016,2317.869,638,27.5
33,New Hampshire,2016,1113.194,241,21.7
34,New Jersey,2016,7133.718,676,9.5
35,New Mexico,2016,1653.666,464,28.1
36,New York,2016,15962.726,1646,10.3
37,North Carolina,2016,8126.222,1351,16.6
38,North Dakota,2016,596.362,136,22.8
39,Ohio,2016,9327.033,1682,18
40,Oklahoma,2016,3070.402,807,26.3
41,Oregon,2016,3319.916,753,22.7
42,Pennsylvania,2016,10427.248,1943,18.6
44,Rhode Island,2016,873.367,125,14.3
45,South Carolina,2016,3985.78,805,20.2
46,South Dakota,2016,671.792,158,23.5
47,Tennessee,2016,5317.144,1096,20.6
48,Texas,2016,21407.691,3428,16
49,Utah,2016,2219.577,602,27.1
50,Vermont,2016,520.446,116,22.3
51,Virginia,2016,6753.021,1144,16.9
53,Washington,2016,5843.932,1124,19.2
54,West Virginia,2016,1500.605,359,23.9
55,Wisconsin,2016,4635.652,854,18.4
56,Wyoming,2016,460.287,141,30.6
